sample_id,category,complexity_band,status,attempts,first_pass_compiled,final_compiled,repaired,error_class,reference_pages,candidate_pages,page_count_match,prompt_tokens,completion_tokens,total_tokens,reported_cost_usd,duration_seconds,estimated_cost_usd,accounted_cost_usd,requested_model,resolved_model,response_id
04_math_aligned_007,04_math_aligned,heldout,finished,1,True,True,False,,1,1,True,1752,836,2588,0.001692,5.809,0.001692,0.001692,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951580-f6A9fy3xoMaBI7X5hTDg
05_tables_simple_001,05_tables_simple,heldout,finished,1,True,True,False,,3,2,False,6360,4782,11142,0.008763,40.456,0.008763,0.008763,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951585-BqhwbKfDqmyKMMqN9SVf
05_tables_simple_017,05_tables_simple,heldout,finished,1,True,True,False,,3,1,False,4393,2125,6518,0.00428575,7.022,0.00428575,0.00428575,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951626-uPIVGhuukJ5ghGVkqFX6
05_tables_simple_018,05_tables_simple,heldout,finished,1,True,True,False,,3,1,False,4020,2945,6965,0.0054225,25.281,0.0054225,0.0054225,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951633-VXVpIuVhTR4XbY2xnL44
06_tables_moderate_029,06_tables_moderate,heldout,finished,2,False,True,True,,2,2,True,12798,5588,18386,0.0115815,38.13,0.0115815,0.0115815,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951683-CIepN1g6ro5mKJGHbL6r
06_tables_moderate_030,06_tables_moderate,heldout,finished,2,False,False,False,general_syntax,3,,False,10435,4676,15111,0.00962275,29.389,0.00962275,0.00962275,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951718-zOj4yJzwsfjLDPsNISed
06_tables_moderate_033,06_tables_moderate,heldout,finished,2,False,True,True,,3,1,False,6580,2172,8752,0.004902999999999999,21.195,0.004902999999999999,0.004902999999999999,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951736-sCRUHHAkHOtYD1EsRfL6
08_crossrefs_citations_010,08_crossrefs_citations,heldout,finished,1,True,True,False,,1,1,True,1151,291,1442,0.00072425,2.255,0.00072425,0.00072425,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951783-ZWpUMHiA7r88ptrDY5R6
09_algorithms_001,09_algorithms,heldout,finished,1,True,True,False,,2,2,True,1896,1172,3068,0.002232,9.697,0.002232,0.002232,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951747-Q1fanqa7i6U98VaaVUJM
10_compact_papers_006,10_compact_papers,heldout,finished,2,False,True,True,,2,2,True,4340,1527,5867,0.0033755,11.032,0.0033755,0.0033755,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951760-IbtTQjUlVMIxfWpijYC6
10_compact_papers_011,10_compact_papers,heldout,finished,2,False,True,True,,1,1,True,4231,1402,5633,0.00316075,15.084,0.00316075,0.00316075,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,gen-1783951775-5Hfr8HEMz38XenEK6jXa
