audit_case_id,blind_index,content_issue,layout_issue,typography_issue,pagination_issue,specialized_issue,severity_summary,confidence,review_notes,reviewer
AI001,1,moderate,moderate,minor,none,moderate,"Citation identifiers and cross-reference structure diverge despite preserved prose.",0.98,"The candidate replaces numeric citations [1] and [2] with source keys, exposes a command-like abstract fragment, and recasts the bibliography as keyed bullets.",codex_researcher_b
AI002,2,none,minor,minor,none,none,"The three-item list is faithfully preserved with mild compact reflow.",0.99,"All three numbered items and their formulas remain visible in order; the candidate block is simply smaller and positioned higher.",codex_researcher_b
AI003,3,minor,moderate,minor,none,minor,"Figure content is retained but the caption wording and scale differ.",0.97,"The candidate renders the caption mathematics differently, duplicates 'Figures Figure 1', and enlarges and raises the placeholder.",codex_researcher_b
AI004,4,major,major,major,none,major,"Every displayed expression is replaced by clipped source-like text.",1.00,"Across expressions 1 through 5, long command strings run past the page margins instead of forming the reference mathematics.",codex_researcher_b
AI005,5,none,minor,minor,none,none,"The roman-numbered list is faithfully reproduced with modest compaction.",0.99,"All three items and inline formulas remain legible and ordered; line wrapping is only slightly tighter and higher.",codex_researcher_b
AI006,6,none,major,major,none,moderate,"Both later tables are reproduced at a drastically smaller scale.",0.97,"Candidate pages 2 and 3 contain very narrow, tiny versions of the word-frequency tables that occupy most of the corresponding reference pages.",codex_researcher_b
AI007,7,none,minor,minor,none,none,"All five formulas are visually faithful with mild compact reflow.",0.99,"Expression order and mathematical structure match; the candidate formula block is slightly smaller and higher on the page.",codex_researcher_b
AI008,8,minor,minor,minor,none,minor,"Cross-reference labels are duplicated in an otherwise faithful document.",0.99,"The candidate sentence visibly says 'Section Section 1' and 'Equation Equation 1'; abstract, equation, and bibliography remain present.",codex_researcher_b
AI009,9,minor,moderate,minor,none,minor,"Figure placeholders remain usable but captions and closing reference text change.",0.98,"The candidate changes the first caption's source-like math rendering, duplicates 'Figures Figure 1 through Figure 2', and compresses the two placeholders upward.",codex_researcher_b
AI010,10,none,minor,minor,none,none,"The five aligned expressions are preserved with mild compaction.",0.99,"All mathematical groups remain rendered and ordered; only vertical spacing and page position differ slightly.",codex_researcher_b
AI011,11,minor,major,moderate,major,major,"Three table pages collapse to two and the final table collides at the bottom.",0.99,"The candidate moves the algebra table onto page 1, the instrument table onto page 2, and compresses its last rows into a dark overlapping lower band.",codex_researcher_b
AI012,12,moderate,moderate,minor,none,moderate,"Citation keys replace numbering and the reference hierarchy is weakened.",0.99,"The candidate uses [sb] and [joe], duplicates 'Section' and 'Equation', omits the standalone References heading, and labels bibliography entries by source key.",codex_researcher_b
AI013,13,none,major,moderate,major,none,"Two pages of formulas are compressed into one page without visible formula loss.",0.99,"Reference expression 5 occupies page 2, while the candidate fits expressions 1 through 5 into one much denser page.",codex_researcher_b
AI014,14,minor,major,minor,none,moderate,"The letter loses its date and changes the document's spatial form.",0.99,"The candidate omits '13. Juli 2026' and moves the sender block to the upper right while pulling the salutation and body upward.",codex_researcher_b
AI015,15,minor,major,major,none,major,"Later tables are miniaturized and the last page contains severe row overlap.",0.99,"Candidate page 2 is much narrower than the reference, and page 3 collapses its bottom rows and caption into a dark illegible band.",codex_researcher_b
AI016,16,none,major,moderate,major,moderate,"Three table pages are consolidated into two with substantial rescaling.",0.98,"The candidate places the first table on page 1 and the second on page 2, eliminating the reference's separate introductory page and changing both table scales.",codex_researcher_b
AI017,17,moderate,moderate,minor,none,moderate,"Math and citation identifiers are exposed or substituted in multiple regions.",0.98,"The abstract shows source-like parameter text, citations become [19], and the cross-reference sentence duplicates both 'Section' and 'Equation'.",codex_researcher_b
AI018,18,none,moderate,moderate,none,minor,"Both tables remain present but their scale and proportions change materially.",0.97,"The candidate enlarges the page-1 grid and redraws the page-2 source table with denser rows and heavier borders.",codex_researcher_b
AI019,19,major,major,major,none,major,"Three of five formulas are exposed as raw command strings.",1.00,"Expressions 2, 3, and 4 appear as multi-line source text, while a duplicate document heading and extra numbering alter the page hierarchy.",codex_researcher_b
AI020,20,minor,minor,minor,none,minor,"The figure is preserved but source-like caption text and closing wording change.",0.98,"The candidate renders Gröbner differently from the visible reference and duplicates 'Figures Figure 1 through Figure 1'.",codex_researcher_b
AI021,21,moderate,minor,minor,none,moderate,"Source-key citations replace numeric references throughout the page.",0.99,"The candidate changes [1] and [2] to [teinep] and [STR.55] and uses those keys again for all bibliography labels.",codex_researcher_b
AI022,22,minor,moderate,minor,none,minor,"The long extracted item is preserved but some math is exposed and the block is substantially reflowed.",0.97,"The candidate compresses the paragraph into a narrower upper block and leaves a source-like Phi token visible near its middle.",codex_researcher_b
AI023,23,none,minor,minor,none,none,"All five expressions are rendered faithfully with mild compaction.",0.99,"Formula structure and ordering match the reference; the candidate block is only smaller and higher.",codex_researcher_b
AI024,24,minor,moderate,minor,none,minor,"All three figures remain, but math captions and closing reference text differ.",0.98,"The candidate renders subscripts in the captions and duplicates 'Figures Figure 1 through Figure 3' while compressing the figure stack.",codex_researcher_b
AI025,25,none,minor,minor,none,none,"Prose sections and inline mathematics are faithfully retained with modest reflow.",0.99,"Title, abstract, metadata, and discussion appear in the same order; the candidate block is slightly smaller and higher.",codex_researcher_b
AI026,26,minor,moderate,moderate,none,moderate,"The algorithm remains readable but loses its numbered pseudocode hierarchy.",0.98,"The candidate replaces numbered and indented steps with triangle bullets inside a box and changes math-variable formatting across the procedure.",codex_researcher_b
AI027,27,none,major,moderate,major,none,"Five formulas from two reference pages are compressed into one page.",0.99,"The candidate moves reference expression 5 from page 2 onto the bottom of page 1 and tightens every vertical interval.",codex_researcher_b
AI028,28,minor,major,moderate,moderate,major,"The three-page CV is reorganized into a different form hierarchy.",0.98,"The candidate removes the reference's two-column label/value grid, moves research and skills fields between pages, and leaves a mostly empty signature page.",codex_researcher_b
AI029,29,none,minor,minor,none,none,"The single extracted item is faithfully reproduced with mild compaction.",0.99,"The figure-description prose and inline ratios remain intact; only the line wrapping and top position differ.",codex_researcher_b
AI030,30,moderate,moderate,minor,none,moderate,"Rendered math and source-key citations diverge from the visibly source-like reference.",0.98,"The candidate typesets abstract expressions, replaces numeric citations with rg:f keys, and duplicates 'Section' and 'Equation' in the cross-reference sentence.",codex_researcher_b
AI031,31,major,major,major,none,major,"All five displayed formulas become raw source text.",1.00,"Every expression region contains dollar delimiters, backslash commands, or brace-heavy strings rather than the reference mathematical layout.",codex_researcher_b
AI032,32,minor,minor,minor,none,minor,"The two figures remain but caption math and closing wording differ.",0.98,"The candidate renders N in both captions and duplicates 'Figures Figure 1 through Figure 2'; the placeholder geometry is otherwise similar.",codex_researcher_b
AI033,33,minor,major,minor,none,moderate,"The letter loses its date and reorganizes several form fields.",0.99,"The candidate omits '13. Juli 2026', moves the sender block to the upper right, and changes the distribution label from Verteiler to Kopie.",codex_researcher_b
AI034,34,none,minor,minor,none,none,"All five formulas are preserved with mild compact reflow.",0.99,"Expression structure and order match; the candidate uses a smaller, higher content block without visible corruption.",codex_researcher_b
AI035,35,moderate,moderate,minor,none,moderate,"Visible placeholder prose is replaced by specific math in several paper sections.",0.98,"The candidate inserts W-subscript algebra where the reference says 'math expression' and also duplicates 'Equation Equation 1'.",codex_researcher_b
AI036,36,major,major,major,none,major,"Four of five formulas are exposed as source-like text.",1.00,"Only expression 1 is typeset; expressions 2 through 5 show long dollar-delimited command strings in place of the reference displays.",codex_researcher_b
AI037,37,moderate,major,moderate,none,major,"Algorithmic math and hierarchy are flattened into source-like numbered prose.",0.99,"Many lines retain backslash commands and mathbb tokens, while comments, indentation, procedure blocks, and the ruled algorithm structure disappear.",codex_researcher_b
AI038,38,minor,moderate,minor,none,minor,"List content is retained but numbering and grouping differ.",0.98,"The reference visibly restarts numbering at 1 and 2 for the latter parts, while the candidate renumbers them 3 and 4 and compresses the formula blocks inline.",codex_researcher_b
AI039,39,major,major,moderate,moderate,major,"Placeholder-heavy prose is reconstructed as tables and split across both pages.",0.99,"The candidate replaces repeated 'math expression' rows in Method and Conclusion with bordered numeric grids, moving the last two rows onto page 2.",codex_researcher_b
AI040,40,none,minor,minor,none,none,"The prose document is faithfully retained with mild compact reflow.",0.99,"Title, abstract, metadata, and both extracted prose blocks appear intact and in order; only scale and vertical position differ.",codex_researcher_b
AI041,41,moderate,minor,minor,none,moderate,"Citation numbering and cross-reference wording diverge from the reference.",0.99,"The candidate replaces [1] and [2] with [GSW] and [KMQ], duplicates 'Section' and 'Equation', and uses source keys for bibliography labels.",codex_researcher_b
AI042,42,moderate,minor,minor,none,moderate,"Source-key citations replace numeric references throughout the page.",0.99,"The candidate cites [pol] and [div], duplicates 'Section' and 'Equation', and relabels all bibliography entries by source key.",codex_researcher_b
AI043,43,moderate,minor,minor,none,moderate,"Unresolved reference markers are replaced by named keys throughout the list.",0.98,"Multiple [?] tokens in the reference become tc1, sigma1, sigma2, fp, and wan/browen-style citation keys in the candidate.",codex_researcher_b
AI044,44,minor,moderate,minor,none,minor,"Figure caption math is inconsistently reconstructed and the figure stack is compressed.",0.98,"The candidate retains a raw CS command in caption 1, renders the sigma subscript in caption 2, and duplicates 'Figures Figure 1 through Figure 3'.",codex_researcher_b
AI045,45,none,minor,minor,none,none,"The three-item mathematical list is faithfully preserved with mild reflow.",0.99,"All items, symbols, and ordering match visually; the candidate block is simply smaller and higher.",codex_researcher_b
AI046,46,major,major,major,major,major,"Two pages of aligned mathematics collapse to one page with four raw expressions.",1.00,"Expressions 2 through 5 are flattened into source-like prose, and reference page 2 is eliminated entirely.",codex_researcher_b
