audit_case_id,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI053,false,true,true,LLM_research_audit,"The cyan enclosure is a whole-page content frame rather than a citation-specific localization. High content with poor layout and typography is directionally consistent with preserved prose and broad restyling."
AI054,false,true,true,LLM_research_audit,"The box covers nearly the complete reference composition and does not isolate any expression or spacing change. The content-versus-layout pattern is plausible for intact formulas compressed into a much smaller block."
AI055,true,true,true,LLM_research_audit,"The box selects reference page 2 where a ruled table is absent as a page in the one-page candidate. Low layout, typography, and pagination with partial content retention matches the flattened pipe-delimited output."
AI056,false,true,true,LLM_research_audit,"The enclosure is page-wide and does not isolate the overlapped two-row mathematical list. Strong content with low layout and typography is plausible because most symbols remain while their associations fail."
AI057,false,false,true,LLM_research_audit,"The top box is on the sparse title page and misses the resized tables on pages 2 and 3. A zero pagination score is not plausible for a candidate that preserves the three-page sequence and corresponding table pages."
AI058,false,true,true,LLM_research_audit,"The box follows the full reference body rather than the changed nested-list indentation. High content and reduced layout/typography fidelity are plausible for the readable compact reflow."
AI059,false,true,true,LLM_research_audit,"The cyan frame covers the complete reference paper instead of a discrete heading or spacing change. Near-complete content with low layout and moderate appearance/typography is consistent with the denser reconstruction."
AI060,false,true,false,LLM_research_audit,"The enclosure spans almost the entire letter and does not isolate the omitted date. High content and low layout remain plausible because only one field is lost while all major text blocks are repositioned."
AI061,true,true,true,LLM_research_audit,"The box encloses the full reference page-2 table, whose candidate counterpart is visibly narrowed and reduced. High content with low layout and moderate typography correctly describes retained values with severe rescaling."
AI062,false,true,true,LLM_research_audit,"The residual frame is page-wide and does not isolate the changed item numbers. Very high content with low layout and typography is plausible for preserved sentences with renumbered list structure."
AI063,false,false,false,LLM_research_audit,"The box is an almost whole-page frame rather than a focused missing-body region. The high content score is implausible because the candidate omits the reference body, closing, signature, and postscript."
