audit_case_id,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI001,false,true,true,codex_researcher_b,"The cyan enclosure is a whole-page registration frame rather than a localization of the citation-key and raw-command errors. High content with poor layout and typography is directionally consistent with the visible failure."
AI002,false,false,true,codex_researcher_b,"The enclosure covers nearly the full reference body and does not isolate a defect. The candidate preserves the short list with only mild reflow, so zero layout and very low visual scores are too punitive."
AI003,false,true,true,codex_researcher_b,"The residual frame spans the page rather than selecting the caption and scale changes. The score pattern reasonably separates mostly retained content from substantial visual displacement."
AI004,false,true,true,codex_researcher_b,"The page-wide box does not identify any one malformed equation. Low content, layout, typography, and appearance scores are visually supported by the severe raw-math rendering failure."
AI005,false,false,true,codex_researcher_b,"The residual is effectively a full-page frame. The list is faithfully retained with mild spacing and scale changes, making the zero layout score implausibly harsh."
AI006,true,false,true,codex_researcher_b,"The residual selects the later table region where the candidate table is drastically reduced. The page count matches and no pagination defect is visible, so a zero pagination score is not plausible."
AI007,false,false,true,codex_researcher_b,"The box covers the whole mathematical content block instead of a local discrepancy. The formulas remain faithful with modest compaction, so the near-zero visual axes are overly punitive."
AI008,false,false,true,codex_researcher_b,"The page-wide residual does not isolate the duplicate headings and labels. Those are limited errors within an otherwise faithful document, so zero layout and very low typography overstate the defect."
AI009,false,false,true,codex_researcher_b,"The residual encloses the complete figure stack rather than the duplicated label and caption. The placeholders are retained with moderate compaction, so the near-zero appearance and layout axes are too harsh."
AI010,false,false,true,codex_researcher_b,"The residual is a broad page-content frame. The displayed formulas are retained with only mild compaction, which is inconsistent with the near-zero layout and typography scores."
AI011,true,true,true,codex_researcher_b,"The cyan box marks the missing third reference page and therefore directly explains the pagination failure. The low pagination and layout scores agree with the three-to-two-page collapse and table collision."
AI012,false,true,true,codex_researcher_b,"The residual is page-wide rather than localized to citation-key and heading changes. High content with weak layout and appearance is directionally consistent with the visible reflow and duplicated labels."
AI013,true,false,true,codex_researcher_b,"The box identifies the missing second reference page. Pagination and layout correctly flag the two-to-one-page collapse, but the low content score contradicts the visibly preserved formulas."
AI014,false,true,false,codex_researcher_b,"The residual covers nearly the entire letter and does not isolate the missing date or repositioned blocks. High content with poor spatial axes is plausible, and the matching canvas sequence removes that confound."
AI015,true,true,true,codex_researcher_b,"The residual selects the second-page table whose candidate counterpart is miniaturized and colliding. The score pattern correctly reflects retained table content with severe layout, typography, and page-flow loss."
AI016,true,false,true,codex_researcher_b,"The cyan enclosure identifies the missing third reference page. The pagination and layout penalties are warranted, but the very low content score is inconsistent with the substantially preserved document content."
AI017,false,true,true,codex_researcher_b,"The residual is a page-wide registration frame rather than a localization of identifier substitutions. High content with poor layout and typography reasonably reflects retained prose plus citation and math-token defects."
AI018,false,false,true,codex_researcher_b,"The top residual covers the full first-page table area rather than a specific cell or table defect. The tables and their values are substantially retained despite scale changes, so the low content and near-zero typography scores are not credible."
AI019,false,true,true,codex_researcher_b,"The enclosure spans the entire formula page instead of isolating the raw expressions. The low content and visual scores are consistent with three severely malformed equations and duplicated headings."
AI020,false,true,true,codex_researcher_b,"The residual is a whole-page content frame rather than a localized caption defect. High content with poor appearance and layout is plausible for retained placeholders with malformed caption math and duplicated labels."
AI021,false,true,true,codex_researcher_b,"The box covers the full reference body instead of the citation labels. High content together with poor layout is directionally consistent with retained prose, key-style citations, and major reflow."
AI022,false,false,true,codex_researcher_b,"The residual is page-wide and does not isolate the remaining raw Phi token. The long item and its structure are mostly faithful, so zero layout and very low typography are too punitive."
AI023,false,false,true,codex_researcher_b,"The enclosure is a broad page frame. All five formulas remain legible and substantively faithful with moderate compaction, making the low content and near-zero visual scores implausible."
AI024,false,true,true,codex_researcher_b,"The residual covers the full figure stack rather than the caption math defects. High content with weak layout, typography, and appearance is supported by severe compaction and duplicated figure wording."
