audit_case_id,blind_index,content_issue,layout_issue,typography_issue,pagination_issue,specialized_issue,severity_summary,confidence,review_notes,reviewer
AI053,53,minor,minor,minor,none,minor,"Minor cross-reference and style drift; otherwise usable.",0.96,"On page 1 the references and in-text citations use source-key labels such as [EII] and [Gro] instead of the reference's numeric [1]-[4] scheme; the title and abstract block are also denser.",LLM_research_audit
AI054,54,none,moderate,moderate,none,none,"All expressions remain visible but the page is substantially compressed.",0.96,"On page 1 Expressions 1-5 are preserved, but the candidate packs the complete set into the upper half with markedly smaller type than the reference.",LLM_research_audit
AI055,55,moderate,major,moderate,major,major,"Table structure and pagination are seriously degraded.",0.99,"Across candidate page 1 both reference tables are flattened into pipe-delimited running text; the reference's three-page structure collapses to one page and column associations are no longer visually recoverable.",LLM_research_audit
AI056,56,moderate,moderate,minor,none,moderate,"Formula-to-list associations are visibly damaged.",0.97,"On page 1 the candidate's two numbered mathematical list rows overlap their enumeration and formula blocks, making the row boundaries and item association ambiguous relative to the reference.",LLM_research_audit
AI057,57,none,moderate,moderate,none,minor,"Tables are preserved but noticeably reduced and reflowed.",0.95,"Candidate pages 2 and 3 retain both tables, though each table is narrower with smaller text and substantially different vertical placement than the corresponding reference page.",LLM_research_audit
AI058,58,none,minor,minor,none,minor,"Readable list with modest hierarchy and spacing drift.",0.94,"On page 1 all list text remains visible; the candidate replaces the reference enumeration with more compact nested bullets and shifts the complete list toward the top.",LLM_research_audit
AI059,59,none,moderate,moderate,none,none,"Content is preserved in a substantially denser paper layout.",0.96,"On page 1 the abstract, metadata, extracted prose, and discussion remain present, but the candidate removes the reference's numbered-section treatment and compresses all blocks into the upper portion.",LLM_research_audit
AI060,60,moderate,moderate,minor,none,moderate,"A key letter field is omitted and the page is materially re-laid out.",0.99,"On page 1 the reference date '13. Juli 2026' is absent from the candidate; the address, body, closing, and postscript remain but occupy different vertical regions.",LLM_research_audit
AI061,61,none,moderate,moderate,none,minor,"Tables remain usable but are smaller and more compact.",0.95,"Candidate pages 2 and 3 preserve both tabular regions, while the title page and tables use narrower columns and smaller type than the matching reference pages.",LLM_research_audit
AI062,62,moderate,minor,minor,none,moderate,"Visible list numbering is changed despite preserved item text.",0.98,"On page 1 the reference visibly repeats item labels 1, 2, 1, 2, whereas the candidate renumbers the same four rows sequentially as 1-4.",LLM_research_audit
AI063,63,major,major,none,none,major,"Most of the letter body is missing.",0.99,"On candidate page 1 only the sender/recipient address region and salutation remain; the reference's body paragraphs, closing, signature, and postscript are absent.",LLM_research_audit
AI064,64,none,moderate,minor,none,minor,"Tables are present with moderate sizing and placement drift.",0.94,"Candidate pages 1 and 2 retain both table regions and values, but the page-1 table is markedly larger and positioned differently from the reference while page 2 is more compact.",LLM_research_audit
AI065,65,none,minor,minor,none,minor,"Figure structure is preserved with small caption-style differences.",0.94,"On page 1 all three figure placeholders and captions remain; the candidate centers and typesets caption mathematics where the reference shows raw formula-like caption text.",LLM_research_audit
AI066,66,none,minor,minor,none,none,"Two-page prose document is preserved with modest reflow.",0.95,"Candidate pages 1 and 2 contain the same prose and references; visible differences are limited to margins, line wrapping, and slightly smaller text blocks.",LLM_research_audit
AI067,67,moderate,major,moderate,none,major,"Algorithm hierarchy and notation are not faithfully reconstructed.",0.99,"On page 1 the candidate removes the reference's ruled numbered algorithm layout, centers procedural fragments, and renders variable notation such as beta as quoted text, obscuring line and nesting relationships.",LLM_research_audit
AI068,68,major,major,major,none,major,"Four of five mathematical displays fail visibly.",0.99,"On page 1 only Expression 1 is typeset; Expressions 2-5 appear as raw command text, with long strings reaching or clipping at the right margin.",LLM_research_audit
AI069,69,moderate,minor,minor,none,moderate,"Cross-reference text is visibly duplicated and renumbered.",0.99,"On page 1 the candidate reads 'Section Section 1' and 'Equation Equation 1' and uses citation labels such as [11] and [12] where the reference uses a different numeric sequence.",LLM_research_audit
AI070,70,none,minor,minor,none,none,"All five formulas are preserved with compact reflow.",0.96,"On page 1 Expressions 1-5 remain visibly typeset and ordered; the candidate simply moves the set higher and reduces inter-expression spacing.",LLM_research_audit
AI071,71,minor,minor,minor,none,minor,"Figure content is present but cross-reference wording is awkward.",0.97,"On page 1 the figure placeholder and caption remain, while the candidate removes the visible raw label text and states the redundant phrase 'Figures Figure 1 through Figure 1'.",LLM_research_audit
AI072,72,major,moderate,major,none,major,"Most mathematical displays are raw text rather than typeset structures.",0.99,"On page 1 Expression 1 is rendered, but Expressions 2-5 are shown as long textual formula-code strings instead of the reference display mathematics.",LLM_research_audit
AI073,73,moderate,major,moderate,major,major,"Both tables lose their visual structure and three pages collapse to one.",0.99,"Candidate page 1 presents the two reference tables as pipe-delimited prose; columns and row groupings from reference pages 2 and 3 are no longer visually encoded.",LLM_research_audit
AI074,74,none,minor,minor,none,minor,"Three-page table document is largely preserved.",0.94,"Candidate pages 2 and 3 retain both ruled table structures; the page-3 table is smaller and shifted compared with the reference but remains legible.",LLM_research_audit
AI075,75,minor,moderate,minor,moderate,moderate,"Algorithm content is retained but pagination and hierarchy drift.",0.96,"The candidate moves the reference page-2 algorithm onto page 1, removes explicit line numbers, and changes indentation/grouping while keeping the major procedural blocks visible.",LLM_research_audit
AI076,76,none,minor,minor,none,none,"All mathematical content remains visible with compact spacing.",0.96,"On page 1 all five expressions are typeset in the same order; the candidate reduces vertical whitespace and places the display group higher.",LLM_research_audit
AI077,77,none,minor,minor,none,none,"Aligned formula groups are preserved with modest compression.",0.96,"On page 1 each of the five aligned mathematical groups remains visibly structured; the candidate uses tighter line and block spacing in the upper page.",LLM_research_audit
AI078,78,minor,minor,minor,none,minor,"Readable paper with a localized cross-reference wording error.",0.98,"On page 1 the candidate preserves the paper blocks and cleans raw escape-like text, but the body visibly says 'Equation Equation 1'.",LLM_research_audit
AI079,79,none,minor,minor,none,none,"Prose content is preserved in a cleaner compact layout.",0.95,"On page 1 both extracted-prose regions remain visible; the candidate removes the reference's raw '=12pt' prefix and uses tighter heading and paragraph spacing.",LLM_research_audit
AI080,80,minor,minor,moderate,none,minor,"Figure survives but the subtitle has a visible rendering defect.",0.97,"On candidate page 1 the subtitle beneath the title is fragmented or clipped and the body says 'Figures Figure 1 through Figure 1'; the figure placeholder and caption remain.",LLM_research_audit
AI081,81,minor,minor,minor,none,minor,"Figure is preserved with redundant reference wording.",0.96,"On page 1 the candidate retains the figure and caption and renders the caption formula, but includes the redundant sentence 'Figures Figure 1 through Figure 1'.",LLM_research_audit
AI082,82,minor,major,major,major,major,"Severe table legibility and pagination failure.",0.99,"Candidate page 1 is mostly empty title material, page 2 contains a densely overlapped table, and page 3 holds the second table; the reference uses two pages without the page-2 collision.",LLM_research_audit
AI083,83,major,moderate,minor,none,major,"Several semantically important letter fields are omitted or invented.",0.99,"On page 1 the candidate adds phone and email fields not visible in the reference, omits the date and signature 'Peter Musterfrau', and changes the distribution heading from 'Verteiler' to 'Kopie'.",LLM_research_audit
AI084,84,moderate,moderate,minor,none,major,"Algorithm numbering and nesting are visibly unreliable.",0.99,"On page 1 the candidate uses garbled nested numbers and changes the reference's line order and indentation; comment cues and block boundaries are no longer recoverable.",LLM_research_audit
AI085,85,minor,minor,minor,none,minor,"Citations are relabeled but the compact paper remains readable.",0.97,"On page 1 numeric cross-references [1]-[4] become source keys such as [us1], [gm], and [dooglass], and References is numbered as section 2.",LLM_research_audit
AI086,86,none,minor,minor,none,none,"Five-item list is fully preserved with compact reflow.",0.96,"On page 1 all five item labels and bodies remain in order; the candidate reduces spacing and shifts the complete list upward.",LLM_research_audit
AI087,87,moderate,moderate,moderate,none,minor,"A missing-glyph block and restructured prose reduce fidelity.",0.99,"In candidate page 1 Extracted Prose 1 begins with a solid black missing-glyph block before 'Fran cois David', and the surrounding string fragments are regrouped relative to the reference.",LLM_research_audit
AI088,88,moderate,major,major,major,major,"Second table overflows and the three-page reference collapses to two pages.",0.99,"On candidate page 2 the lower table rows overlap and run into the bottom margin; the first table is moved to page 1 while the reference separates the material across three pages.",LLM_research_audit
AI089,89,major,major,major,major,major,"Most mathematical content is raw code and pagination collapses.",0.99,"The two-page reference contains fully typeset displays, while candidate page 1 shows long raw formula-code strings with only a matrix-like region partly rendered.",LLM_research_audit
AI090,90,none,moderate,moderate,none,minor,"Tables remain present but are substantially reduced.",0.95,"Candidate pages 2 and 3 preserve the table regions, though the first table is much narrower and uses much smaller type than the large reference table on page 2.",LLM_research_audit
AI091,91,none,minor,minor,none,none,"Metadata and prose are preserved with compact reflow.",0.96,"On page 1 the title, abstract, metadata, and extracted prose remain visible; the candidate mainly tightens margins and heading spacing.",LLM_research_audit
AI092,92,major,moderate,major,none,major,"Three of five formulas are left as raw code.",0.99,"On page 1 Expressions 1 and 3 are visibly typeset, whereas Expressions 2, 4, and 5 appear as raw textual formula strings.",LLM_research_audit
AI093,93,none,minor,minor,none,none,"Two-page paper content is preserved with modest reflow.",0.95,"Candidate pages 1 and 2 retain the title, abstract, sections, equation, and short continuation; the candidate uses denser text and shifts the page-1 blocks upward.",LLM_research_audit
AI094,94,moderate,major,major,major,major,"Portrait repagination produces clipping and table legibility failure.",0.99,"The reference places both tables on one wide page; the candidate spreads them over pages 2 and 3, with lower rows on page 2 visibly overlapping and clipping at the bottom.",LLM_research_audit
AI095,95,major,major,major,major,major,"All five mathematical structures are converted to raw text on one page.",0.99,"The reference typesets five grouped displays over two pages, while candidate page 1 contains long command-like strings for Expressions 1-5 without the original mathematical layout.",LLM_research_audit
AI096,96,moderate,major,major,major,major,"Algorithm formatting and notation fail across a new second page.",0.99,"The reference's ruled one-page algorithm becomes a two-page numbered text list; raw commands and symbols are visible throughout, and the final lines are isolated on candidate page 2.",LLM_research_audit
AI097,97,minor,moderate,minor,moderate,moderate,"Algorithm remains readable but hierarchy and pagination change materially.",0.96,"The reference algorithm occupies page 2 with numbered lines; the candidate moves it to page 1 and replaces line numbering with nested list numbers around Repeat and conditional blocks.",LLM_research_audit
AI098,98,moderate,major,minor,major,moderate,"The CV gains a nearly empty third page and loses header context.",0.99,"The reference is two pages with an 'Updated July 13, 2026' header and signature footer; the candidate omits that page-1 header and isolates place/date/signature lines at the top of page 3.",LLM_research_audit
AI099,99,moderate,major,moderate,major,major,"Two tables and three pages collapse into unstructured prose.",0.99,"Candidate page 1 flattens both ruled tables from reference pages 2 and 3 into long pipe-delimited paragraphs, eliminating row and column structure.",LLM_research_audit
AI100,100,moderate,major,major,major,major,"Table overflow and an extra page make row data unreliable.",0.99,"Candidate pages 2 and 3 contain tall tables whose final rows overlap and clip into caption text at the bottom; the reference fits the corresponding tables cleanly on two pages.",LLM_research_audit
AI101,101,none,minor,minor,none,none,"Paper content is preserved with improved title rendering and modest reflow.",0.95,"On page 1 the abstract, metadata, and two extracted-prose regions remain present; the candidate typesets W-infinity in the title and uses a narrower upper-page text block.",LLM_research_audit
AI102,102,moderate,major,moderate,none,major,"Algorithm line and comment structure is severely compressed.",0.99,"On page 1 the candidate packs the reference's 29 ruled algorithm lines into a small box with run-together clauses, displaced line numbers, and missing comment alignment.",LLM_research_audit
AI103,103,moderate,moderate,minor,none,moderate,"The letter omits date and signature fields.",0.99,"On candidate page 1 the date '13. Juli 2026' and signature name 'Peter Musterfrau' are absent; recipient, body, postscript, attachment, and distribution list remain.",LLM_research_audit
