x,y
0,0
0.08,0
0.16,0
0.24,0
0.32,0
0.4,0
0.48,0
0.56,0
0.64,0
0.72,0
0.8,0
0.88,0
0.96,0
1.04,0
1.12,0
1.2,0
1.28,0
1.36,0
1.44,0
1.52,0
1.6,0
1.68,0
1.76,0
1.84,0
1.92,0
2,0
2.08,0
2.16,0
2.24,0
2.32,0
2.4,0
2.48,0
2.56,0
2.64,0
2.72,0
2.8,0
2.88,0
2.96,0
3.04,0.047430083
3.12,0.070863178
3.2,0.094110295
3.28,0.117172912
3.36,0.140052492
3.44,0.162750488
3.52,0.185268341
3.6,0.207607482
3.68,0.229769327
3.76,0.251755285
3.84,0.273566751
3.92,0.29520511
4,0.316671736
4.08,0.337967992
4.16,0.35909523
4.24,0.380054792
4.32,0.400848008
4.4,0.421476198
4.48,0.441940673
4.56,0.462242731
4.64,0.482383662
4.72,0.502364744
4.8,0.522187246
4.88,0.541852426
4.96,0.561361534
5.04,0.580715808
5.12,0.599916476
5.2,0.618964758
5.28,0.637861863
5.36,0.656608991
5.44,0.675207332
5.52,0.693658068
5.6,0.711962369
5.68,0.730121398
5.76,0.748136307
5.84,0.766008241
5.92,0.783738335
6,0.801327713
6.08,0.817648205
6.16,0.833281239
6.24,0.848236698
6.32,0.862524354
6.4,0.876153863
6.48,0.889134773
6.56,0.901476521
6.64,0.913188434
6.72,0.924279732
6.8,0.934759529
6.88,0.944636832
6.96,0.953920545
7.04,0.962619468
7.12,0.970742298
7.2,0.978297631
7.28,0.985293964
7.36,0.991739695
7.44,0.997643121
7.52,1.003012445
7.6,1.007855773
7.68,1.012181117
7.76,1.015996392
7.84,1.019309422
7.92,1.022127941
8,1.024459587
8.08,1.026311912
8.16,1.027692378
8.24,1.028608357
8.32,1.029067135
8.4,1.029075912
8.48,1.028641802
8.56,1.027771833
8.64,1.026472953
8.72,1.024752023
8.8,1.022615825
8.88,1.020071059
8.96,1.017124344
9.04,1.013782221
9.12,1.01007804
9.2,1.006031042
9.28,1.001660081
9.36,0.996983627
9.44,0.992019776
9.52,0.986786252
9.6,0.981300412
9.68,0.975579255
9.76,0.969639426
9.84,0.96349722
9.92,0.957168587
10,0.950669141
10.08,0.94401416
10.16,0.937218597
10.24,0.930297077
10.32,0.92326391
10.4,0.916133093
10.48,0.908918312
10.56,0.901632949
10.64,0.89429009
10.72,0.886902523
10.8,0.879482748
10.88,0.872042978
10.96,0.864595146
11.04,0.857150909
11.12,0.849721649
11.2,0.842318485
11.28,0.834952266
11.36,0.827633586
11.44,0.820372782
11.52,0.813179939
11.6,0.806064896
11.68,0.799037247
11.76,0.792106348
11.84,0.785281317
11.92,0.778571044
12,0.771984186
12.08,0.765529179
12.16,0.759213597
12.24,0.753044496
12.32,0.747028427
12.4,0.741171448
12.48,0.735479141
12.56,0.729956618
12.64,0.724608539
12.72,0.719439124
12.8,0.714452161
12.88,0.709651019
12.96,0.705038664
13.04,0.700617663
13.12,0.696390202
13.2,0.692358091
13.28,0.688522779
13.36,0.684885362
13.44,0.681446595
13.52,0.6782069
13.6,0.675166378
13.68,0.672324818
13.76,0.669681704
13.84,0.667236228
13.92,0.664987298
14,0.662933546
14.08,0.661073338
14.16,0.65940478
14.24,0.65792573
14.32,0.656633805
14.4,0.655526388
14.48,0.654600636
14.56,0.65385349
14.64,0.653281679
14.72,0.652881731
14.8,0.652649979
14.88,0.652582567
14.96,0.652675458
15.04,0.652924442
15.12,0.653325141
15.2,0.65387303
15.28,0.654563455
15.36,0.655391639
15.44,0.656352703
15.52,0.65744167
15.6,0.658653484
15.68,0.659983014
15.76,0.661425075
15.84,0.662974428
15.92,0.664625797
16,0.666373878
16.08,0.668213347
16.16,0.670138871
16.24,0.672145116
