case_id,candidate_valid,mutation_visible,target_box_correct,label_correct,predicted_box_useful,reviewer,review_notes
5E52BEA83337,true,true,true,true,true,LLM_research_audit,Unblinded sheet 128: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
A99AF398E82A,true,true,true,true,true,LLM_research_audit,Unblinded sheet 137: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
D4D17196BBE4,true,true,true,true,true,LLM_research_audit,Unblinded sheet 131: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B62E4156722F,true,true,true,true,true,LLM_research_audit,Unblinded sheet 154: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
FADBD0378FBB,true,true,true,true,true,LLM_research_audit,Unblinded sheet 133: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
6DEBFA24D1EC,true,true,true,true,true,LLM_research_audit,Unblinded sheet 58: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
9462FFEB7B81,true,true,true,true,true,LLM_research_audit,Unblinded sheet 121: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
0FC3B3310799,true,true,true,true,true,LLM_research_audit,Unblinded sheet 48: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
37AA931B59AA,true,true,true,true,true,LLM_research_audit,Unblinded sheet 45: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
CE0B8556A21B,true,true,true,true,true,LLM_research_audit,Unblinded sheet 60: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
B84F26CA0FB4,true,true,true,true,true,LLM_research_audit,Unblinded sheet 142: compact_block_displacement is visible; the red target covers the edited region and the cyan residual provides a useful localization.
113C6AB58979,true,true,true,true,true,LLM_research_audit,Unblinded sheet 68: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
238D7FD011AE,true,true,true,true,true,LLM_research_audit,Unblinded sheet 129: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
7C5E7E02F166,true,true,true,true,false,LLM_research_audit,Unblinded sheet 73: block_right is visible and the red target covers the displaced block; the cyan residual does not isolate that block and is not a useful localizer.
C78B39DAAE42,true,true,true,true,true,LLM_research_audit,Unblinded sheet 104: figure_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
67697FE15162,true,true,true,true,true,LLM_research_audit,Unblinded sheet 89: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
702C503E0D51,true,true,true,true,true,LLM_research_audit,Unblinded sheet 57: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
7FFDD0F0D68F,true,true,true,true,true,LLM_research_audit,Unblinded sheet 9: paragraph_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
9E40372F5E34,true,true,true,true,true,LLM_research_audit,Unblinded sheet 19: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
79E1FD53581E,true,true,true,true,true,LLM_research_audit,Unblinded sheet 122: crossref_token_corruption is visible; the red target covers the edited region and the cyan residual provides a useful localization.
EC232E08CCF0,true,true,true,true,true,LLM_research_audit,Unblinded sheet 152: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
574C66A01132,true,true,true,true,true,LLM_research_audit,Unblinded sheet 62: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
04FBFDD00C6F,true,true,true,true,true,LLM_research_audit,Unblinded sheet 110: local_occlusion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
21B89E7AC4F0,true,true,true,true,true,LLM_research_audit,Unblinded sheet 31: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
7DECF1C4EE6D,true,true,true,true,true,LLM_research_audit,Unblinded sheet 145: text_deletion is visible; the red target covers the edited region and the cyan residual provides a useful localization.
D56424E42D80,true,true,true,true,true,LLM_research_audit,Unblinded sheet 132: block_right is visible; the red target covers the edited region and the cyan residual provides a useful localization.
